,text,event_type,clean_text
7206,Philipp Wollscheid (FC Nurnberg) wins a free kick in the defensive half.,8,philipp wollscheid fc nurnberg win free kick defensive half
7207,Foul by Sascha Molders (FC Augsburg).,3,foul sascha molders fc augsburg
7208,"Goal!  FC Nurnberg 1, FC Augsburg 0. Alexander Esswein (FC Nurnberg) left footed shot from the left side of the box to the bottom right corner. Assisted by Tomas Pekhart.",1,goal fc nurnberg fc augsburg alexander esswein fc nurnberg leave foot shot leave side box bottom right corner assist tomas pekhart
7209,Attempt saved. Tomas Pekhart (FC Nurnberg) right footed shot from the right side of the box is saved in the bottom right corner.,1,attempt save tomas pekhart fc nurnberg right foot shot right side box save bottom right corner
7210,Foul by Almog Cohen (FC Nurnberg).,3,foul almog cohen fc nurnberg
7211,Almog Cohen (FC Nurnberg) is shown the yellow card for a bad foul.,4,almog cohen fc nurnberg show yellow card bad foul
7212,Akaki Gogia (FC Augsburg) wins a free kick in the attacking half.,8,akaki gogia fc augsburg win free kick attack half
7213,"Substitution, FC Augsburg. Edmond Kapllani replaces Daniel Baier.",7,substitution fc augsburg edmond kapllani replaces daniel baier
7214,"Substitution, FC Augsburg. Dominik Reinhardt replaces Hajime Hosogai.",7,substitution fc augsburg dominik reinhardt replaces hajime hosogai
7215,Attempt blocked. Jonas De Roeck (FC Augsburg) header from the centre of the box is blocked. Assisted by Axel Bellinghausen with a cross.,1,attempt block jonas de roeck fc augsburg header centre box block assisted axel bellinghausen cross
7216,"Corner,  FC Augsburg. Conceded by Philipp Wollscheid.",2,corner fc augsburg concede philipp wollscheid
7217,"Substitution, FC Nurnberg. Dominic Maroh replaces Julian Wiessmeier.",7,substitution fc nurnberg dominic maroh replaces julian wiessmeier
7218,"Offside, FC Augsburg. Andrew Sinkala tries a through ball, but Dominik Reinhardt is caught offside.",9,offside fc augsburg andrew sinkala try ball dominik reinhardt catch offside
7219,Attempt missed. Edmond Kapllani (FC Augsburg) right footed shot from outside the box is high and wide to the left. Assisted by Akaki Gogia.,1,attempt miss edmond kapllani fc augsburg right foot shot outside box high wide leave assisted akaki gogia
7220,Alexander Esswein (FC Nurnberg) wins a free kick on the left wing.,8,alexander esswein fc nurnberg win free kick leave wing
7221,Tomas Pekhart (FC Nurnberg) wins a free kick in the attacking half.,8,tomas pekhart fc nurnberg win free kick attack half
7222,Foul by Jan-Ingwer Callsen-Bracker (FC Augsburg).,3,foul jan ingwer callsen bracker fc augsburg
7223,Jan-Ingwer Callsen-Bracker (FC Augsburg) is shown the yellow card for a bad foul.,4,jan ingwer callsen bracker fc augsburg show yellow card bad foul
7224,Foul by Jonas De Roeck (FC Augsburg).,3,foul jonas de roeck fc augsburg
7225,"Corner,  Lorient. Conceded by Damien Gregorini.",2,corner lorient concede damien gregorini
7226,"Offside, Lorient. GrA©gory Bourillon tries a through ball, but KA©vin Monnet-Paquet is caught offside.",9,offside lorient gragory bourillon try ball kavin monnet paquet catch offside
7227,Attempt saved. Samba DiakitA© (Nancy) right footed shot from outside the box is saved in the centre of the goal.,1,attempt save samba diakita nancy right foot shot outside box save centre goal
7228,"Corner,  Lorient. Conceded by Loosemy Karaboue.",2,corner lorient concede loosemy karaboue
7229,"Attempt missed. KA©vin Monnet-Paquet (Lorient) header from the right side of the box is close, but misses to the right. Assisted by Mathieu Coutadeur with a cross following a corner.",1,attempt miss kavin monnet paquet lorient header right side box close miss right assist mathieu coutadeur cross follow corner
7230,"Goal!  Lorient 0, Nancy 1. Djamel Bakar (Nancy) right footed shot from outside the box to the bottom right corner. Assisted by Loosemy Karaboue.",1,goal lorient nancy djamel bakar nancy right foot shot outside box bottom right corner assist loosemy karaboue
7231,Foul by Jonathan Brison (Nancy).,3,foul jonathan brison nancy
7232,Mathieu Coutadeur (Lorient) wins a free kick on the right wing.,8,mathieu coutadeur lorient win free kick right wing
7233,Attempt missed. KA©vin Monnet-Paquet (Lorient) header from the centre of the box misses to the right. Assisted by Mathieu Coutadeur with a cross.,1,attempt miss kavin monnet paquet lorient header centre box miss right assist mathieu coutadeur cross
7234,"Corner,  Lorient. Conceded by MickaA«l ChrA©tien.",2,corner lorient concede mickaal chratien
7235,Loosemy Karaboue (Nancy) wins a free kick in the defensive half.,8,loosemy karaboue nancy win free kick defensive half
7236,Foul by Jacques-Alaixys Romao (Lorient).,3,foul jacques alaixys romao lorient
7237,Hand ball by Loosemy Karaboue (Nancy).,10,hand ball loosemy karaboue nancy
7238,Attempt saved. KA©vin Monnet-Paquet (Lorient) right footed shot from the left side of the box is saved in the centre of the goal.,1,attempt save kavin monnet paquet lorient right foot shot left side box save centre goal
7239,"Corner,  Lorient. Conceded by Loosemy Karaboue.",2,corner lorient concede loosemy karaboue
7240,"Attempt missed. Djamel Bakar (Nancy) right footed shot from the centre of the box is close, but misses to the left. Assisted by Youssouf Hadji.",1,attempt miss djamel bakar nancy right foot shot centre box close miss leave assisted youssouf hadji
7241,Jonathan Brison (Nancy) wins a free kick in the defensive half.,8,jonathan brison nancy win free kick defensive half
7242,Foul by Pedrinho (Lorient).,3,foul pedrinho lorient
7243,"Offside, Lorient. Jacques-Alaixys Romao tries a through ball, but Jeremie Aliadiere is caught offside.",9,offside lorient jacques alaixys romao try ball jeremie aliadiere catch offside
7244,Foul by Loosemy Karaboue (Nancy).,3,foul loosemy karaboue nancy
7245,Jacques-Alaixys Romao (Lorient) wins a free kick in the defensive half.,8,jacques alaixys romao lorient win free kick defensive half
7246,Foul by Samba DiakitA© (Nancy).,3,foul samba diakita nancy
7247,Jacques-Alaixys Romao (Lorient) wins a free kick in the attacking half.,8,jacques alaixys romao lorient win free kick attack half
7248,Attempt saved. Bruno Ecuele Manga (Lorient) header from the centre of the box is saved in the top right corner. Assisted by Mathieu Coutadeur.,1,attempt save bruno ecuele manga lorient header centre box save top right corner assist mathieu coutadeur
7249,"Corner,  Lorient. Conceded by Damien Gregorini.",2,corner lorient concede damien gregorini
7250,Attempt missed. Jacques-Alaixys Romao (Lorient) header from the centre of the box misses to the left. Assisted by Mathieu Coutadeur with a cross following a corner.,1,attempt miss jacques alaixys romao lorient header centre box miss leave assisted mathieu coutadeur cross follow corner
7251,Foul by Youssouf Hadji (Nancy).,3,foul youssouf hadji nancy
7252,Youssouf Hadji (Nancy) wins a free kick on the left wing.,8,youssouf hadji nancy win free kick leave wing
7253,Foul by GrA©gory Bourillon (Lorient).,3,foul gragory bourillon lorient
7254,Benjamin Moukandjo (Nancy) wins a free kick in the defensive half.,8,benjamin moukandjo nancy win free kick defensive half
7255,Foul by Lucas Mareque (Lorient).,3,foul lucas mareque lorient
7256,Foul by Youssouf Hadji (Nancy).,3,foul youssouf hadji nancy
7257,Jacques-Alaixys Romao (Lorient) wins a free kick in the attacking half.,8,jacques alaixys romao lorient win free kick attack half
7258,Youssouf Hadji (Nancy) is shown the yellow card.,4,youssouf hadji nancy show yellow card
7259,Jacques-Alaixys Romao (Lorient) is shown the yellow card.,4,jacques alaixys romao lorient show yellow card
7260,"Attempt missed. Mathias Autret (Lorient) right footed shot from the left side of the box is close, but misses to the left. Assisted by Lucas Mareque.",1,attempt miss mathias autret lorient right foot shot left side box close miss leave assisted lucas mareque
7261,"Corner,  Lorient. Conceded by Jonathan Brison.",2,corner lorient concede jonathan brison
7262,Attempt saved. Bruno Ecuele Manga (Lorient) header from outside the box is saved in the top left corner. Assisted by Pedrinho.,1,attempt save bruno ecuele manga lorient header outside box save top left corner assist pedrinho
7263,Attempt saved. KA©vin Monnet-Paquet (Lorient) right footed shot from outside the box is saved in the centre of the goal. Assisted by Jeremie Aliadiere.,1,attempt save kavin monnet paquet lorient right foot shot outside box save centre goal assist jeremie aliadiere
7264,"Corner,  Nancy. Conceded by Pedrinho.",2,corner nancy concede pedrinho
7265,Fabien Audard (Lorient) wins a free kick in the defensive half.,8,fabien audard lorient win free kick defensive half
7266,Foul by Jordan Loties (Nancy).,3,foul jordan loties nancy
7267,Foul by Youssouf Hadji (Nancy).,3,foul youssouf hadji nancy
7268,Jacques-Alaixys Romao (Lorient) wins a free kick in the defensive half.,8,jacques alaixys romao lorient win free kick defensive half
7269,Foul by Samba DiakitA© (Nancy).,3,foul samba diakita nancy
7270,Mathieu Coutadeur (Lorient) wins a free kick in the attacking half.,8,mathieu coutadeur lorient win free kick attack half
7271,Foul by Benjamin Moukandjo (Nancy).,3,foul benjamin moukandjo nancy
7272,Lucas Mareque (Lorient) wins a free kick in the attacking half.,8,lucas mareque lorient win free kick attack half
7273,Attempt blocked. Mathieu Coutadeur (Lorient) right footed shot from outside the box is blocked.,1,attempt block mathieu coutadeur lorient right foot shot outside box block
7274,"Corner,  Lorient. Conceded by Youssouf Hadji.",2,corner lorient concede youssouf hadji
7275,"Attempt missed. Jacques-Alaixys Romao (Lorient) left footed shot from the left side of the six yard box is close, but misses to the left. Assisted by GrA©gory Bourillon following a corner.",1,attempt miss jacques alaixys romao lorient leave foot shot leave side six yard box close miss leave assisted gragory bourillon follow corner
7276,Foul by Bakaye Traore (Nancy).,3,foul bakaye traore nancy
7277,Jacques-Alaixys Romao (Lorient) wins a free kick in the attacking half.,8,jacques alaixys romao lorient win free kick attack half
7278,"Corner,  Lorient. Conceded by Jordan Loties.",2,corner lorient concede jordan loties
7279,Attempt missed. Bruno Ecuele Manga (Lorient) header from the right side of the six yard box is just a bit too high. Assisted by Mathieu Coutadeur with a cross following a corner.,1,attempt miss bruno ecuele manga lorient header right side six yard box bit high assist mathieu coutadeur cross follow corner
7280,Attempt blocked. Mathias Autret (Lorient) left footed shot from the left side of the box is blocked.,1,attempt block mathias autret lorient leave foot shot leave side box block
7281,"Corner,  Lorient. Conceded by MickaA«l ChrA©tien.",2,corner lorient concede mickaal chratien
7282,"Corner,  Lorient. Conceded by Jonathan Brison.",2,corner lorient concede jonathan brison
7283,"Offside, Lorient. Lucas Mareque tries a through ball, but Mathias Autret is caught offside.",9,offside lorient lucas mareque try ball mathias autret catch offside
7284,"Substitution, Lorient. Maxime Baca replaces Pedrinho.",7,substitution lorient maxime baca replaces pedrinho
7285,Attempt missed. Djamel Bakar (Nancy) right footed shot from outside the box is too high. Assisted by Bakaye Traore.,1,attempt miss djamel bakar nancy right foot shot outside box high assist bakaye traore
7286,Attempt saved. Mathias Autret (Lorient) right footed shot from outside the box is saved in the centre of the goal. Assisted by Lucas Mareque.,1,attempt save mathias autret lorient right foot shot outside box save centre goal assist lucas mareque
7287,MickaA«l ChrA©tien (Nancy) wins a free kick in the defensive half.,8,mickaal chratien nancy win free kick defensive half
7288,Foul by Mathias Autret (Lorient).,3,foul mathias autret lorient
7289,Loosemy Karaboue (Nancy) wins a free kick in the defensive half.,8,loosemy karaboue nancy win free kick defensive half
7290,Foul by Jacques-Alaixys Romao (Lorient).,3,foul jacques alaixys romao lorient
7291,Attempt missed. Loosemy Karaboue (Nancy) right footed shot from outside the box is high and wide to the right. Assisted by MickaA«l ChrA©tien.,1,attempt miss loosemy karaboue nancy right foot shot outside box high wide right assist mickaal chratien
7292,Foul by Bakaye Traore (Nancy).,3,foul bakaye traore nancy
7293,Mathieu Coutadeur (Lorient) wins a free kick on the right wing.,8,mathieu coutadeur lorient win free kick right wing
7294,"Substitution, Lorient. Yann Jouffre replaces Mathieu Coutadeur.",7,substitution lorient yann jouffre replaces mathieu coutadeur
7295,Foul by Samba DiakitA© (Nancy).,3,foul samba diakita nancy
7296,Yann Jouffre (Lorient) wins a free kick on the right wing.,8,yann jouffre lorient win free kick right wing
7297,Foul by Jonathan Brison (Nancy).,3,foul jonathan brison nancy
7298,Attempt blocked. Arnold Mvuemba (Lorient) right footed shot from outside the box is blocked.,1,attempt block arnold mvuemba lorient right foot shot outside box block
7299,"Substitution, Nancy. Paul Alo'o Efoulou replaces Benjamin Moukandjo.",7,substitution nancy paul alo efoulou replaces benjamin moukandjo
7300,Attempt missed. Samba DiakitA© (Nancy) right footed shot from outside the box is high and wide to the right. Assisted by Paul Alo'o Efoulou.,1,attempt miss samba diakita nancy right foot shot outside box high wide right assist paul alo efoulou
7301,Attempt missed. Yann Jouffre (Lorient) left footed shot from outside the box is high and wide to the right. Assisted by Jeremie Aliadiere.,1,attempt miss yann jouffre lorient leave foot shot outside box high wide right assist jeremie aliadiere
7302,Foul by Jonathan Brison (Nancy).,3,foul jonathan brison nancy
7303,Jeremie Aliadiere (Lorient) wins a free kick in the attacking half.,8,jeremie aliadiere lorient win free kick attack half
7304,Jonathan Brison (Nancy) is shown the yellow card for a bad foul.,4,jonathan brison nancy show yellow card bad foul
7305,"Goal!  Lorient 1, Nancy 1. Arnold Mvuemba (Lorient) from a free kick with a right footed shot to the bottom right corner.",1,goal lorient nancy arnold mvuemba lorient free kick right foot shot bottom right corner
7306,Loosemy Karaboue (Nancy) wins a free kick in the attacking half.,8,loosemy karaboue nancy win free kick attack half
7307,Foul by Jacques-Alaixys Romao (Lorient).,3,foul jacques alaixys romao lorient
7308,"Substitution, Lorient. Lynel Kitambala replaces Mathias Autret.",7,substitution lorient lynel kitambala replaces mathias autret
7309,Foul by Lucas Mareque (Lorient).,3,foul lucas mareque lorient
7310,Lucas Mareque (Lorient) is shown the yellow card for a bad foul.,4,lucas mareque lorient show yellow card bad foul
7311,"Attempt missed. Djamel Bakar (Nancy) right footed shot from the centre of the box is close, but misses to the right. Assisted by Paul Alo'o Efoulou.",1,attempt miss djamel bakar nancy right foot shot centre box close miss right assist paul alo efoulou
7312,Hand ball by Jeremie Aliadiere (Lorient).,10,hand ball jeremie aliadiere lorient
7313,"Attempt missed. Lynel Kitambala (Lorient) left footed shot from the left side of the box is close, but misses to the left. Assisted by Jacques-Alaixys Romao.",1,attempt miss lynel kitambala lorient left foot shot left side box close miss leave assisted jacques alaixys romao
7314,Attempt missed. Paul Alo'o Efoulou (Nancy) right footed shot from outside the box misses to the right. Assisted by Jonathan Brison.,1,attempt miss paul alo efoulou nancy right foot shot outside box miss right assist jonathan brison
7315,Foul by Paul Alo'o Efoulou (Nancy).,3,foul paul alo efoulou nancy
7316,Maxime Baca (Lorient) wins a free kick on the right wing.,8,maxime baca lorient win free kick right wing
7317,Attempt missed. KA©vin Monnet-Paquet (Lorient) right footed shot from the left side of the box is just a bit too high. Assisted by Jeremie Aliadiere.,1,attempt miss kavin monnet paquet lorient right foot shot left side box bit high assist jeremie aliadiere
7318,Samba DiakitA© (Nancy) wins a free kick in the attacking half.,8,samba diakita nancy win free kick attack half
7319,Foul by Jacques-Alaixys Romao (Lorient).,3,foul jacques alaixys romao lorient
7320,Foul by Paul Alo'o Efoulou (Nancy).,3,foul paul alo efoulou nancy
7321,Fabien Audard (Lorient) wins a free kick in the defensive half.,8,fabien audard lorient win free kick defensive half
7322,"Attempt missed. Yann Jouffre (Lorient) left footed shot from the right side of the box is close, but misses to the right. Assisted by KA©vin Monnet-Paquet.",1,attempt miss yann jouffre lorient leave foot shot right side box close miss right assist kavin monnet paquet
7323,"Goal!  Lorient 2, Nancy 1. KA©vin Monnet-Paquet (Lorient) right footed shot from the right side of the box to the bottom left corner. Assisted by Yann Jouffre.",1,goal lorient nancy kavin monnet paquet lorient right foot shot right side box bottom leave corner assist yann jouffre
7324,Yann Jouffre (Lorient) is shown the yellow card for excessive celebration.,4,yann jouffre lorient show yellow card excessive celebration
7325,Foul by David Jarolim (Hamburg).,3,foul david jarolim hamburg
7326,"Offside, Hamburg. Heung-Min Son tries a through ball, but Mladen Petric is caught offside.",9,offside hamburg heung min son try ball mladen petric catch offside
7327,Slawomir Peszko (1. FC Koln) wins a free kick on the left wing.,8,slawomir peszko fc koln win free kick leave wing
7328,Per Skjelbred (Hamburg) wins a free kick in the attacking half.,8,per skjelbred hamburg win free kick attack half
7329,Foul by Henrique Sereno (1. FC Koln).,3,foul henrique sereno fc koln
7330,Attempt blocked. Mato Jajalo (1. FC Koln) right footed shot from outside the box is blocked. Assisted by Miso Brecko.,1,attempt block mato jajalo fc koln right foot shot outside box block assisted miso brecko
7331,"Corner,  1. FC Koln. Conceded by Slobodan Rajkovic.",2,corner fc koln concede slobodan rajkovic
7332,Foul by Robert Tesche (Hamburg).,3,foul robert tesche hamburg
7333,Miso Brecko (1. FC Koln) wins a free kick on the right wing.,8,miso brecko fc koln win free kick right wing
7334,Mladen Petric (Hamburg) wins a free kick in the defensive half.,8,mladen petric hamburg win free kick defensive half
7335,Foul by Henrique Sereno (1. FC Koln).,3,foul henrique sereno fc koln
7336,Attempt saved. Heiko Westermann (Hamburg) right footed shot from more than 35 yards is saved in the bottom left corner. Assisted by David Jarolim.,1,attempt save heiko westermann hamburg right foot shot yard save bottom leave corner assist david jarolim
7337,"Corner,  Hamburg. Conceded by Miro Varvodic.",2,corner hamburg concede miro varvodic
7338,David Jarolim (Hamburg) wins a free kick in the attacking half.,8,david jarolim hamburg win free kick attack half
7339,Foul by Sascha Riether (1. FC Koln).,3,foul sascha riether fc koln
7340,Penalty Hamburg. Dennis Aogo draws a foul in the penalty area.,11,penalty hamburg dennis aogo draw foul penalty area
7341,"Goal!  Hamburg 1, 1. FC Koln 0. Mladen Petric (Hamburg) converts the penalty with a left footed shot to the bottom left corner.",1,goal hamburg fc koln mladen petric hamburg convert penalty leave foot shot bottom leave corner
7342,Foul by Robert Tesche (Hamburg).,3,foul robert tesche hamburg
7343,Mato Jajalo (1. FC Koln) wins a free kick in the defensive half.,8,mato jajalo fc koln win free kick defensive half
7344,Mladen Petric (Hamburg) wins a free kick on the right wing.,8,mladen petric hamburg win free kick right wing
7345,Foul by Sascha Riether (1. FC Koln).,3,foul sascha riether fc koln
7346,Foul by Slobodan Rajkovic (Hamburg).,3,foul slobodan rajkovic hamburg
7347,Martin Lanig (1. FC Koln) wins a free kick in the defensive half.,8,martin lanig fc koln win free kick defensive half
7348,Foul by Mladen Petric (Hamburg).,3,foul mladen petric hamburg
7349,Henrique Sereno (1. FC Koln) wins a free kick in the defensive half.,8,henrique sereno fc koln win free kick defensive half
7350,Foul by David Jarolim (Hamburg).,3,foul david jarolim hamburg
7351,Attempt saved. Slawomir Peszko (1. FC Koln) right footed shot from outside the box is saved in the centre of the goal.,1,attempt save slawomir peszko fc koln right foot shot outside box save centre goal
7352,Slawomir Peszko (1. FC Koln) wins a free kick in the defensive half.,8,slawomir peszko fc koln win free kick defensive half
7353,"Corner,  1. FC Koln. Conceded by Heiko Westermann.",2,corner fc koln concede heiko westermann
7354,Foul by Dennis Diekmeier (Hamburg).,3,foul dennis diekmeier hamburg
7355,Slawomir Peszko (1. FC Koln) wins a free kick in the defensive half.,8,slawomir peszko fc koln win free kick defensive half
7356,"Goal!  Hamburg 1, 1. FC Koln 1. Adil Chihi (1. FC Koln) left footed shot from the right side of the six yard box to the bottom right corner. Assisted by Slawomir Peszko.",1,goal hamburg fc koln adil chihi fc koln leave foot shot right side six yard box bottom right corner assist slawomir peszko
7357,Foul by Robert Tesche (Hamburg).,3,foul robert tesche hamburg
7358,Miso Brecko (1. FC Koln) wins a free kick in the attacking half.,8,miso brecko fc koln win free kick attack half
7359,Slobodan Rajkovic (Hamburg) wins a free kick in the defensive half.,8,slobodan rajkovic hamburg win free kick defensive half
7360,Foul by Pedro Geromel (1. FC Koln).,3,foul pedro geromel fc koln
7361,Marcell Jansen (Hamburg) wins a free kick in the attacking half.,8,marcell jansen hamburg win free kick attack half
7362,Attempt missed. Slobodan Rajkovic (Hamburg) header from the centre of the box is too high. Assisted by Dennis Aogo with a cross following a set piece situation.,1,attempt miss slobodan rajkovic hamburg header centre box high assist dennis aogo cross follow set piece situation
7363,Foul by Miso Brecko (1. FC Koln).,3,foul miso brecko fc koln
7364,Miso Brecko (1. FC Koln) is shown the yellow card for a bad foul.,4,miso brecko fc koln show yellow card bad foul
7365,Foul by Milivoje Novakovic (1. FC Koln).,3,foul milivoje novakovic fc koln
7366,"Corner,  Hamburg. Conceded by Slawomir Peszko.",2,corner hamburg concede slawomir peszko
7367,Attempt missed. Heung-Min Son (Hamburg) header from the centre of the box is high and wide to the right. Assisted by Dennis Aogo with a cross following a corner.,1,attempt miss heung min son hamburg header centre box high wide right assist dennis aogo cross follow corner
7368,Attempt saved. Heung-Min Son (Hamburg) left footed shot from outside the box is saved in the bottom left corner. Assisted by Per Skjelbred with a through ball.,1,attempt save heung min son hamburg leave foot shot outside box save bottom leave corner assist per skjelbred ball
7369,"Corner,  Hamburg. Conceded by Miro Varvodic.",2,corner hamburg concede miro varvodic
7370,Attempt blocked. Mladen Petric (Hamburg) right footed shot from the left side of the box is blocked. Assisted by Slobodan Rajkovic.,1,attempt block mladen petric hamburg right foot shot left side box block assisted slobodan rajkovic
7371,"Corner,  Hamburg. Conceded by Henrique Sereno.",2,corner hamburg concede henrique sereno
7372,"Offside, 1. FC Koln. Adil Chihi tries a through ball, but Milivoje Novakovic is caught offside.",9,offside fc koln adil chihi try ball milivoje novakovic caught offside
7373,"Offside, Hamburg. Dennis Diekmeier tries a through ball, but Heung-Min Son is caught offside.",9,offside hamburg dennis diekmeier try ball heung min son catch offside
7374,"Offside, Hamburg. Dennis Aogo tries a through ball, but Per Skjelbred is caught offside.",9,offside hamburg dennis aogo try ball per skjelbred caught offside
7375,Miso Brecko (1. FC Koln) wins a free kick in the defensive half.,8,miso brecko fc koln win free kick defensive half
7376,Dennis Aogo (Hamburg) wins a free kick in the defensive half.,8,dennis aogo hamburg win free kick defensive half
7377,Foul by Mato Jajalo (1. FC Koln).,3,foul mato jajalo fc koln
7378,Attempt blocked. Robert Tesche (Hamburg) right footed shot from the centre of the box is blocked.,1,attempt block robert tesche hamburg right foot shot centre box block
7379,"Corner,  Hamburg. Conceded by Henrique Sereno.",2,corner hamburg concede henrique sereno
7380,Attempt missed. Marcell Jansen (Hamburg) left footed shot from a difficult angle on the left is too high.,1,attempt miss marcell jansen hamburg leave foot shot difficult angle leave high
7381,"Substitution, 1. FC Koln. Lukas Podolski replaces Slawomir Peszko.",7,substitution fc koln lukas podolski replaces slawomir peszko
7382,Attempt saved. Mladen Petric (Hamburg) left footed shot from outside the box is saved in the bottom right corner. Assisted by Slobodan Rajkovic.,1,attempt save mladen petric hamburg leave foot shot outside box save bottom right corner assist slobodan rajkovic
7383,Foul by Mladen Petric (Hamburg).,3,foul mladen petric hamburg
7384,Robert Tesche (Hamburg) wins a free kick in the defensive half.,8,robert tesche hamburg win free kick defensive half
7385,Martin Lanig (1. FC Koln) wins a free kick on the right wing.,8,martin lanig fc koln win free kick right wing
7386,Foul by Lukas Podolski (1. FC Koln).,3,foul lukas podolski fc koln
7387,"Goal!  Hamburg 1, 1. FC Koln 2. Milivoje Novakovic (1. FC Koln) right footed shot from very close range to the high centre of the goal. Assisted by Lukas Podolski following a fast break.",1,goal hamburg fc koln milivoje novakovic fc koln right foot shot close range high centre goal assist lukas podolski follow fast break
7388,Per Skjelbred (Hamburg) wins a free kick in the attacking half.,8,per skjelbred hamburg win free kick attack half
7389,Foul by Martin Lanig (1. FC Koln).,3,foul martin lanig fc koln
7390,Foul by Slobodan Rajkovic (Hamburg).,3,foul slobodan rajkovic hamburg
7391,Milivoje Novakovic (1. FC Koln) wins a free kick in the attacking half.,8,milivoje novakovic fc koln win free kick attack half
7392,"Offside, 1. FC Koln. Henrique Sereno tries a through ball, but Milivoje Novakovic is caught offside.",9,offside fc koln henrique sereno try ball milivoje novakovic caught offside
7393,"Offside, Hamburg. Dennis Aogo tries a through ball, but Mladen Petric is caught offside.",9,offside hamburg dennis aogo try ball mladen petric catch offside
7394,Slobodan Rajkovic (Hamburg) wins a free kick in the defensive half.,8,slobodan rajkovic hamburg win free kick defensive half
7395,"Offside, Hamburg. Jaroslav Drobny tries a through ball, but David Jarolim is caught offside.",9,offside hamburg jaroslav drobny try ball david jarolim catch offside
7396,Foul by Milivoje Novakovic (1. FC Koln).,3,foul milivoje novakovic fc koln
7397,David Jarolim (Hamburg) wins a free kick in the defensive half.,8,david jarolim hamburg win free kick defensive half
7398,"Offside, Hamburg. Robert Tesche tries a through ball, but Per Skjelbred is caught offside.",9,offside hamburg robert tesche try ball per skjelbred caught offside
7399,"Goal!  Hamburg 2, 1. FC Koln 2. Slobodan Rajkovic (Hamburg) right footed shot from very close range to the bottom left corner following a set piece situation.",1,goal hamburg fc koln slobodan rajkovic hamburg right foot shot close range bottom leave corner follow set piece situation
7400,David Jarolim (Hamburg) wins a free kick in the attacking half.,8,david jarolim hamburg win free kick attack half
7401,Foul by Adil Chihi (1. FC Koln).,3,foul adil chihi fc koln
7402,Heiko Westermann (Hamburg) wins a free kick in the defensive half.,8,heiko westermann hamburg win free kick defensive half
7403,Attempt missed. Heung-Min Son (Hamburg) right footed shot from outside the box misses to the left. Assisted by David Jarolim.,1,attempt miss heung min son hamburg right foot shot outside box miss leave assist david jarolim
7404,Foul by Milivoje Novakovic (1. FC Koln).,3,foul milivoje novakovic fc koln
7405,"Goal!  Hamburg 3, 1. FC Koln 2. Heung-Min Son (Hamburg) left footed shot from the right side of the box to the bottom left corner. Assisted by Robert Tesche.",1,goal hamburg fc koln heung min son hamburg leave foot shot right side box bottom leave corner assist robert tesche
7406,Foul by Mladen Petric (Hamburg).,3,foul mladen petric hamburg
7407,Henrique Sereno (1. FC Koln) wins a free kick in the defensive half.,8,henrique sereno fc koln win free kick defensive half
7408,Dennis Aogo (Hamburg) wins a free kick in the defensive half.,8,dennis aogo hamburg win free kick defensive half
7409,Dennis Aogo (Hamburg) is shown the yellow card for fighting.,4,dennis aogo hamburg show yellow card fighting
7410,Foul by Milivoje Novakovic (1. FC Koln).,3,foul milivoje novakovic fc koln
7411,Milivoje Novakovic (1. FC Koln) is shown the yellow card for fighting.,4,milivoje novakovic fc koln show yellow card fighting
7412,David Jarolim (Hamburg) wins a free kick on the right wing.,8,david jarolim hamburg win free kick right wing
7413,Foul by Andrezinho (1. FC Koln).,3,foul andrezinho fc koln
7414,"Offside, Hamburg. Dennis Aogo tries a through ball, but Heiko Westermann is caught offside.",9,offside hamburg dennis aogo try ball heiko westermann catch offside
7415,Foul by David Jarolim (Hamburg).,3,foul david jarolim hamburg
7416,Foul by Mladen Petric (Hamburg).,3,foul mladen petric hamburg
7417,"Substitution, 1. FC Koln. Christian Clemens replaces Andrezinho.",7,substitution fc koln christian clemens replaces andrezinho
7418,Martin Lanig (1. FC Koln) wins a free kick in the attacking half.,8,martin lanig fc koln win free kick attack half
7419,Miso Brecko (1. FC Koln) wins a free kick in the defensive half.,8,miso brecko fc koln win free kick defensive half
7420,Foul by Heung-Min Son (Hamburg).,3,foul heung min son hamburg
7421,Dennis Diekmeier (Hamburg) wins a free kick in the defensive half.,8,dennis diekmeier hamburg win free kick defensive half
7422,Christian Clemens (1. FC Koln) wins a free kick on the left wing.,8,christian clemens fc koln win free kick leave wing
7423,Foul by Christian Clemens (1. FC Koln).,3,foul christian clemens fc koln
7424,"Substitution, Hamburg. Eljero Elia replaces Heung-Min Son because of an injury.",7,substitution hamburg eljero elia replaces heung min son injury
7425,Attempt saved. Per Skjelbred (Hamburg) left footed shot from outside the box is saved in the top left corner. Assisted by David Jarolim.,1,attempt save per skjelbred hamburg leave foot shot outside box save top left corner assist david jarolim
7426,"Corner,  1. FC Koln. Conceded by Dennis Diekmeier.",2,corner fc koln concede dennis diekmeier
7427,Foul by Eljero Elia (Hamburg).,3,foul eljero elia hamburg
7428,"Substitution, Hamburg. Jose Paolo Guerrero replaces Mladen Petric.",7,substitution hamburg jose paolo guerrero replaces mladen petric
7429,Christian Clemens (1. FC Koln) wins a free kick in the defensive half.,8,christian clemens fc koln win free kick defensive half
7430,Heiko Westermann (Hamburg) wins a free kick in the defensive half.,8,heiko westermann hamburg win free kick defensive half
7431,Marcell Jansen (Hamburg) wins a free kick on the left wing.,8,marcell jansen hamburg win free kick leave wing
